function,module,description,sourceStartLine,sourceEndLineApprox,callCountApprox,if,else,switch,case,for,while,catch,ternaryApprox,calledByBody
mergeEntityCollections,01-build-persistence.js,"Normalização, merge, tombstones e persistência das construções",408,489,1,2,0,0,0,0,0,0,3,defaultAvatarV2
normalizeState,02-state-save-cloud-account.js,"Estado, save local, IndexedDB, nuvem e conta",490,547,3,2,0,0,0,0,0,0,55,applyBuildTombstones | normalizeAvatarV2 | normalizeBuildTombstones
loadState,02-state-save-cloud-account.js,"Estado, save local, IndexedDB, nuvem e conta",548,596,6,10,2,0,0,1,0,4,5,ensureDailyChallenges | normalizeState | updateDailyBadge | updateHUD | updateLobbyStats
commitState,02-state-save-cloud-account.js,"Estado, save local, IndexedDB, nuvem e conta",597,613,7,0,0,0,0,0,0,2,1,applyBuildTombstones | ensureDailyChallenges | normalizeBuildTombstones | syncCloudProgress | syncGameAccount | updateDailyBadge | updateLobbyStats
saveState,02-state-save-cloud-account.js,"Estado, save local, IndexedDB, nuvem e conta",614,621,1,1,0,0,0,0,0,0,0,commitState
cloudProgressPayload,02-state-save-cloud-account.js,"Estado, save local, IndexedDB, nuvem e conta",622,630,0,0,0,0,0,0,0,0,19,
syncCloudProgress,02-state-save-cloud-account.js,"Estado, save local, IndexedDB, nuvem e conta",631,634,2,1,0,0,0,0,0,0,2,cloudProgressPayload | hasValidPlayerName
mergeCloudProgress,02-state-save-cloud-account.js,"Estado, save local, IndexedDB, nuvem e conta",635,656,12,3,0,0,0,0,0,1,40,mergeBuildCollections | mergeBuildTombstones | mergeEntityCollections | normalizeAvatarV2 | normalizeState | reconcileWorldBuilds | syncCloudProgress | toast | updateHUD | updateLobbyStats | updatePlayerNameUI
accountLinked,02-state-save-cloud-account.js,"Estado, save local, IndexedDB, nuvem e conta",657,657,0,0,0,0,0,0,0,0,1,
accountPromptWasHandled,02-state-save-cloud-account.js,"Estado, save local, IndexedDB, nuvem e conta",658,658,0,0,0,0,0,0,0,0,0,
accountStatusText,02-state-save-cloud-account.js,"Estado, save local, IndexedDB, nuvem e conta",659,675,2,4,0,0,0,0,0,0,7,accountLinked | publicPlayerName
syncGameAccount,02-state-save-cloud-account.js,"Estado, save local, IndexedDB, nuvem e conta",676,730,14,17,0,0,0,0,0,1,20,accountLinked | applyPlayerName | commitState | normalizeState | publicPlayerName | sanitizePlayerName | saveState | updateHUD | updateLobbyStats | updatePlayerNameUI
openAccountForm,02-state-save-cloud-account.js,"Estado, save local, IndexedDB, nuvem e conta",731,739,5,4,2,0,0,0,0,1,9,closeModal | escapeHtml | openAccountCenter | openModal | toast
openAccountCenter,02-state-save-cloud-account.js,"Estado, save local, IndexedDB, nuvem e conta",740,748,11,1,0,0,0,0,0,0,12,accountLinked | closeModal | escapeHtml | openAccountForm | openAccountLogoutGate | openModal | openPlayerNameModal | saveState | syncGameAccount | toast
openAccountLogoutGate,02-state-save-cloud-account.js,"Estado, save local, IndexedDB, nuvem e conta",749,757,4,2,0,0,0,0,0,0,2,closeModal | openAccountCenter | openModal | toast
addXP,03-ui-modal-install-pwa.js,"Economia, flags, telas, modais, feedback, instalação e PWA",758,768,4,1,0,0,0,0,0,0,0,awardMedal | saveState | toast | updateHUD
addCoins,03-ui-modal-install-pwa.js,"Economia, flags, telas, modais, feedback, instalação e PWA",769,772,2,0,0,0,0,0,0,0,0,saveState | updateHUD
addReputation,03-ui-modal-install-pwa.js,"Economia, flags, telas, modais, feedback, instalação e PWA",773,776,2,0,0,0,0,0,0,0,0,saveState | updateHUD
awardMedal,03-ui-modal-install-pwa.js,"Economia, flags, telas, modais, feedback, instalação e PWA",777,782,2,1,0,0,0,0,0,0,0,saveState | toast
setFlag,03-ui-modal-install-pwa.js,"Economia, flags, telas, modais, feedback, instalação e PWA",783,789,2,1,0,0,0,0,0,0,0,evaluateMissions | saveState
showScreen,03-ui-modal-install-pwa.js,"Economia, flags, telas, modais, feedback, instalação e PWA",790,794,1,0,0,0,0,0,0,0,0,updateInstallUI
toast,03-ui-modal-install-pwa.js,"Economia, flags, telas, modais, feedback, instalação e PWA",795,800,0,0,0,0,0,0,0,0,0,
vibrate,03-ui-modal-install-pwa.js,"Economia, flags, telas, modais, feedback, instalação e PWA",801,803,0,1,0,0,0,0,0,0,0,
beep,03-ui-modal-install-pwa.js,"Economia, flags, telas, modais, feedback, instalação e PWA",804,818,0,2,0,0,0,0,0,1,0,
openModal,03-ui-modal-install-pwa.js,"Economia, flags, telas, modais, feedback, instalação e PWA",819,833,1,3,0,0,0,0,0,0,4,scheduleStableResize
closeModal,03-ui-modal-install-pwa.js,"Economia, flags, telas, modais, feedback, instalação e PWA",834,851,4,4,1,0,0,0,0,0,4,cancelFishingSession | clearExtensionPreview | startEngineSound | stopFishingVisual
confirmModal,03-ui-modal-install-pwa.js,"Economia, flags, telas, modais, feedback, instalação e PWA",852,865,4,1,0,0,0,0,0,0,1,closeModal | openModal
updateInstallUI,03-ui-modal-install-pwa.js,"Economia, flags, telas, modais, feedback, instalação e PWA",866,913,2,5,0,0,0,0,0,0,5,openModal | toast
isOfficialOtthiGameAddress,03-ui-modal-install-pwa.js,"Economia, flags, telas, modais, feedback, instalação e PWA",914,1042,7,17,1,0,0,0,0,8,7,openModal | saveState | toast | updateInstallUI
localDateKey,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",1043,1043,0,0,0,0,0,0,0,0,0,
daysBetween,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",1044,1044,0,1,0,0,0,0,0,0,0,
ensureDailyChallenges,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",1045,1045,3,1,0,0,0,0,1,0,3,daysBetween | localDateKey | saveState
dailyDefinition,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",1046,1046,0,0,0,0,0,0,0,0,0,
trackDaily,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",1047,1052,3,5,0,0,0,1,0,0,0,ensureDailyChallenges | saveState | updateDailyBadge
updateDailyBadge,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",1053,1053,1,2,0,0,0,0,0,0,1,ensureDailyChallenges
claimDailyQuest,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",1054,1067,9,1,0,0,0,0,0,0,1,addCoins | addReputation | addXP | beep | dailyDefinition | openDailyChallenges | saveState | toast | vibrate
seeded,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",1068,1068,0,0,0,0,0,0,0,0,0,
shuffled,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",1069,1069,0,0,0,0,0,0,0,0,0,
choiceSet,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",1070,1070,2,0,0,0,0,0,0,0,0,shuffled
mathRound,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",1071,1079,4,5,0,0,0,0,0,0,8,choiceSet
portugueseRound,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",1080,1088,5,5,0,0,0,0,0,0,6,choiceSet | shuffled
englishRound,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",1089,1097,5,5,0,0,0,0,0,0,2,choiceSet
generateEducationRounds,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",1098,1098,1,0,0,0,0,0,0,0,2,seeded
subjectLevelRecord,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",1099,1099,0,0,0,0,0,0,0,0,0,
subjectUnlocked,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",1100,1100,1,0,0,0,0,0,0,0,0,subjectLevelRecord
educationSummary,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",1101,1101,1,1,0,0,0,2,0,0,0,subjectLevelRecord
speakKidWord,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",1102,1102,0,0,0,0,0,0,0,1,0,
dailyChallengesHtml,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",1103,1103,2,0,0,0,0,0,0,0,5,dailyDefinition | ensureDailyChallenges
educationSubjectHtml,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",1104,1104,2,0,0,0,0,0,0,0,6,subjectLevelRecord | subjectUnlocked
openEducationHub,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",1105,1114,10,5,0,0,0,0,0,0,8,claimDailyQuest | dailyChallengesHtml | educationSubjectHtml | educationSummary | ensureDailyChallenges | openModal | openSocialHub | playerDisplayName | startSoloEducationGame
openChallengeHub,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",1115,1115,1,0,0,0,0,0,0,0,1,openEducationHub
openDailyChallenges,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",1116,1116,1,0,0,0,0,0,0,0,0,openEducationHub
runEducationGame,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",1117,1130,12,6,1,0,0,0,0,0,9,addXP | beep | escapeHtml | finishSoloEducationGame | generateEducationRounds | openModal | speakKidWord
startSoloEducationGame,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",1131,1131,3,0,0,0,0,0,0,1,0,closeChallengePrompt | runEducationGame | toast
finishSoloEducationGame,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",1132,1134,11,2,1,0,0,0,0,0,6,addCoins | addXP | awardMedal | openEducationHub | openModal | saveState | startSoloEducationGame | subjectLevelRecord
startCinematicEmote,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",1135,1137,0,1,0,0,0,0,0,0,0,
triggerEmote,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",1138,1148,5,4,0,0,0,0,0,0,4,addXP | beep | startCinematicEmote | toast | vibrate
openQuiz,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",1149,1151,1,0,0,0,0,0,0,0,0,openEducationHub
openCollection,04-education-daily-quiz.js,"Desafios diários, educação, quiz e coleção",1152,1172,1,0,0,0,0,0,0,0,1,openModal
effectiveAvatarUniform,05-avatar-life-customization.js,"Avatar, roupas, uniformes, vida, moldes e ajuda",1173,1180,0,1,0,0,0,0,0,0,3,
avatarChoiceGroup,05-avatar-life-customization.js,"Avatar, roupas, uniformes, vida, moldes e ajuda",1181,1185,1,0,0,0,0,0,0,0,5,effectiveAvatarUniform
openAvatarStudio,05-avatar-life-customization.js,"Avatar, roupas, uniformes, vida, moldes e ajuda",1186,1195,14,0,0,0,0,0,0,0,2,applyAvatarCustomization | avatarChoiceGroup | closeModal | normalizeAvatarV2 | openModal | playerDisplayName | saveState | setFlag | toast | updateAvatarV2LegacyChoice
openLifePanel,05-avatar-life-customization.js,"Avatar, roupas, uniformes, vida, moldes e ajuda",1196,1211,3,2,0,0,0,1,0,0,1,closeModal | openModal | toast
openMolds,05-avatar-life-customization.js,"Avatar, roupas, uniformes, vida, moldes e ajuda",1212,1214,2,0,0,0,0,0,0,0,0,openModal | playerDisplayName
openHow,05-avatar-life-customization.js,"Avatar, roupas, uniformes, vida, moldes e ajuda",1215,1315,1,0,0,0,0,0,0,0,0,openModal
deriveMissionFlags,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",1316,1327,0,0,0,0,0,0,0,0,1,
evaluateMissions,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",1328,1345,5,2,0,0,0,1,0,0,3,addCoins | awardMedal | deriveMissionFlags | toast | updateMissionHUD
updateMissionHUD,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",1346,1366,3,3,0,0,0,0,0,0,3,activeJobProgress | coopMissionProgressLabel | playerText
objectiveStatusLabel,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",1367,1367,0,0,0,0,0,0,0,0,1,
skillMasterySummary,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",1368,1368,0,0,0,0,0,0,0,0,1,
pinChapter,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",1369,1369,4,0,0,0,0,0,0,0,1,evaluateMissions | saveState | toast | updateMissionHUD
openObjectivesPanel,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",1370,1377,11,0,0,0,0,0,0,0,21,activeCoopMission | activeJobProgress | coopMissionBriefingMarkup | deriveMissionFlags | focusActiveJob | missionBriefingMarkup | openModal | pinChapter | playerText | skillMasterySummary
sanitizePlayerName,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",1378,1378,0,0,0,0,0,0,0,0,0,
hasValidPlayerName,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",1379,1379,1,0,0,0,0,0,0,0,0,sanitizePlayerName
playerDisplayName,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",1380,1380,2,0,0,0,0,0,0,0,1,hasValidPlayerName | sanitizePlayerName
playerText,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",1381,1381,4,0,0,0,0,0,0,0,0,playerDisplayName
updatePlayerNameUI,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",1382,1382,7,7,0,0,0,0,0,0,8,accountStatusText | hasValidPlayerName | playerDisplayName
applyPlayerName,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",1383,1383,5,2,0,0,0,0,0,0,8,publicPlayerName | sanitizePlayerName | saveState | toast | updatePlayerNameUI
openPlayerNameModal,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",1384,1388,5,3,0,0,0,0,0,0,6,applyPlayerName | closeModal | hasValidPlayerName | openModal | toast
updateLobbyStats,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",1389,1395,1,0,0,0,0,0,0,0,0,updatePlayerNameUI
updateHUD,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",1396,1410,2,1,0,0,0,0,0,0,2,updateMissionHUD | updatePlayerNameUI
openInventory,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",1411,1423,4,1,0,0,0,0,0,0,3,openModal | saveState | toast | updateHUD
equippedTool,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",1424,1424,0,0,0,0,0,0,0,0,1,
equipTool,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",1425,1427,3,2,0,0,0,0,0,0,0,refreshEquippedToolVisual | saveState | toast
openToolbelt,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",1428,1430,3,0,0,0,0,0,0,0,2,closeModal | equipTool | openModal
refreshEquippedToolVisual,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",1431,1444,7,4,2,0,0,0,0,0,4,box | renderMat
playToolAnimation,06-missions-profile-hud-inventory-tools.js,"Missões, objetivos, perfil, HUD, inventário e ferramentas",1445,1455,2,0,0,0,0,0,0,0,1,beep | vibrate
routeLength,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1456,1456,0,0,0,0,0,1,0,0,0,
compactRoute,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1457,1457,0,2,0,0,0,1,0,0,0,
projectPointToSegment,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1458,1458,0,0,0,0,0,0,0,0,0,
navBlocked,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1459,1459,0,3,0,0,0,2,0,0,0,
segmentClear,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1460,1460,1,1,0,0,0,1,0,0,0,navBlocked
nearestRoadProjection,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1461,1461,2,1,0,0,0,1,0,0,1,projectPointToSegment | segmentClear
pointOnRoad,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1462,1462,0,0,0,0,0,0,0,0,0,
projectPointToPolyline,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1463,1467,1,3,0,0,0,1,0,0,1,projectPointToSegment
snapTrafficToRoad,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1468,1473,4,3,0,0,0,0,0,0,4,nearestRoadProjection | pointOnRoad | projectPointToPolyline
trafficActorList,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1474,1485,0,6,0,0,0,5,0,0,6,
trafficPriority,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1486,1486,0,4,2,0,0,0,0,0,13,
trafficSpeedFactor,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1487,1496,3,7,1,0,0,1,0,0,5,trafficActorList | trafficPriority
captureTrafficPositions,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1497,1497,1,0,0,0,0,1,0,0,1,trafficActorList
resolveTrafficOverlaps,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1498,1508,8,7,1,0,0,4,0,0,15,pointOnRoad | snapTrafficToRoad | trafficActorList | trafficPriority
graphAdd,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1509,1509,0,2,0,0,0,0,0,0,0,
graphShortest,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1510,1510,0,6,0,0,0,2,2,0,4,
buildRoutePoints,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1511,1522,10,4,0,0,0,2,0,0,4,compactRoute | graphAdd | graphShortest | nearestRoadProjection
routeProgressInfo,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1523,1523,2,2,0,0,0,1,0,0,5,projectPointToSegment | routeLength
remainingRoute,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1524,1524,2,0,0,0,0,0,0,0,0,compactRoute | routeProgressInfo
sampleRoute,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1525,1525,0,0,0,0,0,2,0,0,0,
createRouteGuide,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1526,1526,1,2,0,0,0,1,0,0,0,mat
updateRouteGuide,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1527,1527,6,4,0,0,0,0,0,0,1,buildRoutePoints | createRouteGuide | groundHeightAt | remainingRoute | routeProgressInfo | sampleRoute
miniPoint,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1528,1528,0,0,0,0,0,0,0,0,0,
miniMapLogicalSize,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1529,1529,0,1,0,0,0,0,0,0,0,
miniMapScale,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1530,1530,0,0,0,0,0,0,0,0,0,
drawMiniMap,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1531,1539,12,6,0,0,0,2,0,0,15,miniMapLogicalSize | miniMapScale | miniPoint | remainingRoute
updateNavigation,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1540,1540,6,4,1,0,0,0,0,0,5,beep | drawMiniMap | routeProgressInfo | saveState | toast | updateRouteGuide
routeSvgMarkup,07-navigation-traffic-routes.js,"Rotas, trânsito, grafo, GPS e minimapa",1541,1605,2,0,0,0,0,0,0,0,0,playerDisplayName | worldToMap
mapLocationDetails,08-map-parent-settings.js,"Mapa, marcadores, waypoint, reset, ferramentas parentais e configurações",1606,1606,0,1,0,0,0,0,0,0,3,
worldToMap,08-map-parent-settings.js,"Mapa, marcadores, waypoint, reset, ferramentas parentais e configurações",1607,1607,0,0,0,0,0,0,0,0,0,
missionMapLocations,08-map-parent-settings.js,"Mapa, marcadores, waypoint, reset, ferramentas parentais e configurações",1608,1613,1,3,0,0,0,0,0,0,14,serviceVehicleMapLocation
onlinePlayerMapLocations,08-map-parent-settings.js,"Mapa, marcadores, waypoint, reset, ferramentas parentais e configurações",1614,1614,0,0,0,0,0,0,0,0,2,
currentMapLocations,08-map-parent-settings.js,"Mapa, marcadores, waypoint, reset, ferramentas parentais e configurações",1615,1615,1,1,0,0,0,1,0,0,4,coopMissionMapLocations
mapDistance,08-map-parent-settings.js,"Mapa, marcadores, waypoint, reset, ferramentas parentais e configurações",1616,1617,0,0,0,0,0,0,0,0,4,
mapMarkerPlacements,08-map-parent-settings.js,"Mapa, marcadores, waypoint, reset, ferramentas parentais e configurações",1618,1653,1,5,2,0,0,4,0,0,13,worldToMap
applyMapMarkerPlacements,08-map-parent-settings.js,"Mapa, marcadores, waypoint, reset, ferramentas parentais e configurações",1654,1662,0,1,0,0,0,0,0,0,3,
mapVisualNodes,08-map-parent-settings.js,"Mapa, marcadores, waypoint, reset, ferramentas parentais e configurações",1663,1674,1,3,1,0,0,3,0,0,13,worldToMap
mapClusterSelectionMarkup,08-map-parent-settings.js,"Mapa, marcadores, waypoint, reset, ferramentas parentais e configurações",1675,1675,3,0,0,0,0,0,0,0,0,mapDistance
mapSelectionMarkup,08-map-parent-settings.js,"Mapa, marcadores, waypoint, reset, ferramentas parentais e configurações",1676,1679,4,2,0,0,0,0,0,0,1,currentMapLocations | mapClusterSelectionMarkup | mapDistance | mapLocationDetails
setWaypoint,08-map-parent-settings.js,"Mapa, marcadores, waypoint, reset, ferramentas parentais e configurações",1680,1684,7,1,0,0,0,0,0,0,4,buildRoutePoints | closeModal | currentMapLocations | saveState | toast | updateNavigation | updateWaypointMarker
clearWaypoint,08-map-parent-settings.js,"Mapa, marcadores, waypoint, reset, ferramentas parentais e configurações",1685,1685,5,0,0,0,0,0,0,0,0,closeModal | saveState | toast | updateNavigation | updateWaypointMarker
openMap,08-map-parent-settings.js,"Mapa, marcadores, waypoint, reset, ferramentas parentais e configurações",1686,1702,16,4,0,0,0,0,0,0,28,applyMapMarkerPlacements | buildRoutePoints | currentMapLocations | mapDistance | mapMarkerPlacements | mapSelectionMarkup | mapVisualNodes | openModal | routeProgressInfo | routeSvgMarkup | setWaypoint | worldToMap
refreshOpenMapAfterResize,08-map-parent-settings.js,"Mapa, marcadores, waypoint, reset, ferramentas parentais e configurações",1703,1705,1,2,0,0,0,0,0,0,0,openMap
performLocalReset,08-map-parent-settings.js,"Mapa, marcadores, waypoint, reset, ferramentas parentais e configurações",1706,1708,0,0,0,0,0,0,0,0,4,
openFinalResetConfirmation,08-map-parent-settings.js,"Mapa, marcadores, waypoint, reset, ferramentas parentais e configurações",1709,1714,4,3,0,0,0,0,0,0,1,commitState | confirmModal | openModal | performLocalReset
